ProblemType,Algorithm,Method,Accuracy
sparse,bnlearn-hc,DTCgini,0.0
sparse,bnlearn-hc,DTCent,0.0
sparse,bnlearn-hc,RFCgini,0.0
sparse,bnlearn-hc,RFCent,0.0
sparse,bnlearn-hc,LRnone,0.837
sparse,bnlearn-hc,LRl1,0.837
sparse,bnlearn-hc,LRl2,0.837
sparse,bnlearn-hc,LRmix,0.837
sparse,bnlearn-hc,BNB,0.53
sparse,bnlearn-hc,GNB,0.837
sparse,bnlearn-hc,MnNB,0.0
sparse,bnlearn-hc,CNB,0.49
sparse,bnlearn-hc,SVMsig,0.837
sparse,bnlearn-hc,SVMpoly,0.0
sparse,bnlearn-hc,SVMrbf,0.0
sparse,bnlearn-hc,KNCunif,0.0
sparse,bnlearn-hc,KNCdist,0.0
sparse,bnlearn-tabu,DTCgini,0.837
sparse,bnlearn-tabu,DTCent,0.837
sparse,bnlearn-tabu,RFCgini,0.837
sparse,bnlearn-tabu,RFCent,0.837
sparse,bnlearn-tabu,LRnone,0.837
sparse,bnlearn-tabu,LRl1,0.837
sparse,bnlearn-tabu,LRl2,0.837
sparse,bnlearn-tabu,LRmix,0.837
sparse,bnlearn-tabu,BNB,0.53
sparse,bnlearn-tabu,GNB,0.837
sparse,bnlearn-tabu,MnNB,0.0
